,OUTCOMETYPE,AGEOUTCOME,PREVHIST,DAYS_STAY,IS_PUREBREED,INTAKETYPE_ABANDONED,INTAKETYPE_EUTHANASIAREQUEST,INTAKETYPE_OWNERSURRENDER,INTAKETYPE_PUBLICASSIST,INTAKETYPE_STRAY,INTAKECONDITION_AGED,INTAKECONDITION_BEHAVIOR,INTAKECONDITION_FERAL,INTAKECONDITION_INJURED,INTAKECONDITION_MEDICAL,INTAKECONDITION_NORMAL,INTAKECONDITION_NURSING,INTAKECONDITION_OTHER,INTAKECONDITION_PREGNANT,INTAKECONDITION_SICK,SEXINTAKE_INTACTFEMALE,SEXINTAKE_INTACTMALE,SEXINTAKE_NEUTEREDMALE,SEXINTAKE_SPAYEDFEMALE,SEXINTAKE_UNKNOWN
A006100_1394159160,RTO,72.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A006100_1418984460,RTO,84.0,1.0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A006100_1512612420,RTO,120.0,2.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A134067_1384592520,RTO,192.0,0.0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
A141142_1384569960,RTO,180.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A163459_1415934660,RTO,180.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A178569_1395049500,RTO,180.0,0.0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A189592_1442555160,RTO,216.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A200922_1380772020,ADOPT,192.0,0.0,50,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A208755_1424135820,DIED,168.0,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A210457_1475064300,ADOPT,204.0,0.0,9,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A212672_1385356680,RTO,156.0,0.0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A215368_1407117060,RTO,156.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A218622_1385955180,DIED,180.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A218624_1385955180,DIED,180.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
A221327_1430190480,DIED,192.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
A221448_1382872620,RTO,144.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A226069_1444134540,ADOPT,180.0,0.0,22,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A228887_1383973200,RTO,144.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A230482_1426216800,DIED,156.0,0.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
A233812_1409971020,RTO,156.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A236259_1404544380,RTO,156.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A245945_1404366900,RTO,168.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A249087_1471399500,ADOPT,180.0,0.0,90,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A251214_1409800560,RTO,144.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A251402_1508654460,RTO,216.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A253939_1389579360,RTO,144.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A254503_1415531040,DIED,204.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A260914_1434506160,RTO,156.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A261398_1452486660,RTO,168.0,0.0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A267174_1394604720,RTO,144.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A271790_1410693720,DIED,144.0,0.0,6,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A274546_1384323360,ADOPT,132.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A279920_1409101860,DIED,144.0,0.0,9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A280390_1545709500,RTO,192.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A281542_1387761780,ADOPT,144.0,0.0,147,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A284639_1390784700,RTO,132.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A285685_1491969840,RTO,204.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A291843_1512785460,RTO,180.0,0.0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A294132_1382682420,RTO,144.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A298074_1441506060,RTO,216.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A302820_1393467420,ADOPT,132.0,0.0,148,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A305112_1396599540,RTO,132.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A305674_1404701040,DIED,144.0,0.0,3,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A306362_1437187560,RTO,156.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A306965_1398572280,RTO,168.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A307010_1474807860,RTO,156.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A307010_1496317620,RTO,168.0,1.0,3,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A307398_1449059640,DIED,156.0,0.0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A308771_1393649040,RTO,168.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A309829_1415588100,RTO,156.0,0.0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A310394_1415794140,RTO,132.0,0.0,4,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A311544_1382835780,RTO,192.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A313260_1528274640,RTO,180.0,0.0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
A317783_1487988120,RTO,180.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A318500_1412134860,RTO,156.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A318615_1427684760,DIED,168.0,0.0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A321263_1510817400,RTO,168.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A322813_1425523740,RTO,132.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A322813_1450919040,RTO,144.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A325999_1439981100,DIED,144.0,0.0,8,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A328422_1394961540,RTO,120.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A329257_1512785460,RTO,168.0,0.0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A329502_1437310440,RTO,192.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A329835_1383972300,RTO,120.0,0.0,2,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A329871_1384338780,RTO,180.0,0.0,10,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A329968_1382324760,RTO,168.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A332026_1496369040,RTO,180.0,0.0,10,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A332246_1492838820,RTO,168.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
A333659_1382853480,RTO,108.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A333781_1463364540,RTO,144.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A334065_1432637160,DIED,144.0,0.0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
A335182_1388649120,RTO,120.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A335778_1493895060,RTO,168.0,0.0,2,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A337187_1402399200,DIED,144.0,0.0,8,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A337603_1472967180,RTO,168.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A337686_1432792260,RTO,132.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A337686_1433386440,RTO,132.0,1.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A338231_1431915240,RTO,156.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A338231_1519525800,ADOPT,192.0,1.0,27,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A338643_1481881800,ADOPT,156.0,0.0,89,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A338821_1424323140,ADOPT,132.0,0.0,26,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A339523_1455871800,RTO,144.0,0.0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
A339803_1383880500,ADOPT,108.0,0.0,58,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A342473_1532225520,RTO,180.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A342475_1498033380,RTO,156.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A342480_1431826620,RTO,168.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A342659_1501849740,ADOPT,156.0,0.0,38,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A345209_1416704400,RTO,120.0,0.0,3,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A345209_1416997020,RTO,120.0,1.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A346010_1470894480,ADOPT,120.0,0.0,6,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A346884_1439255460,DIED,132.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
A347684_1406337240,RTO,156.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A347684_1427595540,RTO,156.0,1.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A348272_1437301260,ADOPT,132.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A349317_1502794860,ADOPT,156.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A349334_1380971400,RTO,132.0,0.0,11,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A349480_1387106280,RTO,132.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A349733_1506325380,RTO,192.0,0.0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A352555_1407471600,RTO,156.0,0.0,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A352872_1436421060,DIED,132.0,0.0,7,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A353259_1462712220,RTO,168.0,0.0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
A354753_1492774380,RTO,156.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A355519_1431066840,RTO,144.0,0.0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A355688_1390700880,ADOPT,108.0,0.0,28,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A355753_1441847640,ADOPT,132.0,0.0,9,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A355753_1443488880,RTO,132.0,1.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A357021_1417576500,RTO,120.0,0.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A357122_1546416840,RTO,180.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A357846_1458180540,RTO,132.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A358697_1423224720,RTO,132.0,0.0,5,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A358879_1442206320,DIED,156.0,0.0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A360848_1542177840,RTO,168.0,0.0,7,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
A362103_1416302400,RTO,144.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A362707_1453897620,ADOPT,144.0,0.0,348,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
A362967_1402208340,RTO,108.0,0.0,7,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A363653_1395572520,RTO,120.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A363653_1416202740,RTO,120.0,1.0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A364429_1443414360,RTO,132.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A365302_1483850040,RTO,192.0,0.0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
A367438_1441857660,ADOPT,192.0,0.0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A367747_1413686940,ADOPT,120.0,0.0,16,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A370852_1383447840,RTO,108.0,0.0,4,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A371102_1438592940,RTO,156.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
A371534_1465278120,RTO,168.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A373687_1395318660,ADOPT,108.0,0.0,18,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
A375393_1434113220,RTO,156.0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
A377750_1508908620,RTO,156.0,0.0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
